Numéro;Date;Montant;Etat;Tiers;Catégories;Sous-catégorie;Compte;Compte virement;Mode paiement;Ref. Paiement;Référence;Projets/Biens;Commentaire
585;16/07/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
586;16/07/2022;-12,59;2;Amazon;Habillement;Accessoires;FrenchBanq;;Autre;;;;
587;18/07/2022;-46,29;2;Intermarche;Alimentation;Épicerie;FrenchBanq;;Autre;;;;
588;18/07/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
589;18/07/2022;-0,63;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
590;18/07/2022;0,63;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
591;19/07/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
592;19/07/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
593;19/07/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
594;19/07/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
595;20/07/2022;-200,00;2;SCP ZEHNDER-AMOU;Divers;Responsabilité civile;FrenchBanq;;Autre;;;;
596;20/07/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
597;20/07/2022;-2,31;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
598;20/07/2022;2,31;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
599;21/07/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
600;22/07/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
601;22/07/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
602;22/07/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
603;22/07/2022;-15,00;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
604;22/07/2022;-74,46;2;LIDL;Alimentation;Épicerie;FrenchBanq;;Autre;;;;
604;22/07/2022;-30,00;2;LIDL;Soins de la personne;Soins de la personne;FrenchBanq;;Autre;;;;achat tondeuse barbe
605;22/07/2022;-5,22;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
606;22/07/2022;5,22;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
607;24/07/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
608;24/07/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
609;24/07/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
610;28/07/2022;-200,00;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
611;28/07/2022;200,00;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
612;28/07/2022;-50,00;2;Retrait d'Espèces;Transferts;Transfert;FrenchBanq;;Autre;;;;
613;28/07/2022;50,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
614;28/07/2022;-2,18;2;Pharmacie Deslier;Santé;Pharmacie;FrenchBanq;;Autre;;;;
615;28/07/2022;-30,03;2;Intermarche;Auto/moto;Carburant;FrenchBanq;;Autre;;;;
616;28/07/2022;-15,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
617;28/07/2022;-0,90;2;French Bank;Frais bancaires;Frais divers;FrenchBanq;;Autre;;;;
618;29/07/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
619;29/07/2022;-2,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
620;29/07/2022;2,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
621;29/07/2022;-1,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
622;29/07/2022;1,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
623;29/07/2022;-0,75;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
624;29/07/2022;0,75;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
625;29/07/2022;-0,11;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
626;29/07/2022;0,11;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
627;30/07/2022;-6,50;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
628;31/07/2022;-2,90;2;French Bank;Frais bancaires;Services / Abonnement;FrenchBanq;;Autre;;;;
629;31/07/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
630;31/07/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
631;31/07/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
632;01/08/2022;1025,32;2;REGARDBTP;Autres revenus;Complémentaire Santé;FrenchBanq;;Autre;;;;
633;02/08/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
634;02/08/2022;-31,55;2;LIDL;Alimentation;Épicerie;FrenchBanq;;Autre;;;;
635;02/08/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
636;02/08/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
637;03/08/2022;-7,00;2;Mc Donald;Alimentation;Restaurant;FrenchBanq;;Autre;;;;
638;03/08/2022;-21,00;2;O'Mac2;Alimentation;Restaurant;FrenchBanq;;Autre;;;;
639;03/08/2022;-1,58;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
640;03/08/2022;1,58;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
641;04/08/2022;-4,00;2;Amazon;Auto/moto;Accessoires;FrenchBanq;;Autre;;;;
641;04/08/2022;-38,75;2;Amazon;Auto/moto;Entretien/réparations;FrenchBanq;;Autre;;;;
642;04/08/2022;-10,00;2;La Civette;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
643;04/08/2022;991,05;2;CPAM DE L'ARTOIS;Autres revenus;Pension Invalidité;FrenchBanq;;Autre;;;;
644;04/08/2022;-12,00;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
645;04/08/2022;-43,87;2;L'Olivier Assurance;Auto/moto;Assurance Auto/moto;FrenchBanq;;Autre;;;;
646;04/08/2022;-1,05;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
647;04/08/2022;1,05;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
648;04/08/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
649;04/08/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
650;05/08/2022;-1000,00;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
651;05/08/2022;1000,00;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
652;05/08/2022;-0,35;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
653;05/08/2022;0,35;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
654;06/08/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
655;06/08/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
656;06/08/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
657;08/08/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
658;08/08/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
659;08/08/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
660;08/08/2022;-100,00;2;Retrait d'Espèces;Transferts;Transfert;FrenchBanq;;Autre;;;;
661;08/08/2022;100,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
662;08/08/2022;-20,00;2;Retrait d'Espèces;Transferts;Transfert;FrenchBanq;;Autre;;;;
663;08/08/2022;20,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
664;08/08/2022;-0,90;2;French Bank;Frais bancaires;Services / Abonnement;FrenchBanq;;Autre;;;;
665;08/08/2022;2,14;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
666;08/08/2022;-2,14;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
667;09/08/2022;-0,90;2;French Bank;Frais bancaires;Services / Abonnement;FrenchBanq;;Autre;;;;
668;09/08/2022;-5,00;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
669;09/08/2022;5,00;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
670;09/08/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
671;09/08/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
672;09/08/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
673;09/08/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
674;09/08/2022;1,00;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
675;09/08/2022;-1,00;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
676;10/08/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
677;10/08/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
678;10/08/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
679;10/08/2022;-99,32;2;Leclerc;Alimentation;Épicerie;FrenchBanq;;Autre;;;;
680;10/08/2022;-4,97;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
681;10/08/2022;4,97;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
682;10/08/2022;-19,99;2;Free Mobile;Abonnement/factures;Portable;FrenchBanq;;Autre;;;;
683;10/08/2022;-30,09;2;Leclerc;Auto/moto;Carburant;FrenchBanq;;Autre;;;;
684;11/08/2022;-10,00;2;La Civette;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
685;11/08/2022;-42,34;2;LIDL;Alimentation;Épicerie;FrenchBanq;;Autre;;;;
686;11/08/2022;-1,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
687;11/08/2022;1,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
688;12/08/2022;-2,12;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
689;12/08/2022;2,12;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
690;13/08/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
691;13/08/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
692;13/08/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
693;13/08/2022;-7,00;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
694;15/08/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
695;15/08/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
696;15/08/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
697;16/08/2022;-50,00;2;Retrait d'Espèces;Transferts;Transfert;FrenchBanq;;Autre;;;;
698;16/08/2022;50,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
699;16/08/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
700;16/08/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
701;17/08/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
702;18/08/2022;-22,00;2;Pari Mutuelle;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
703;18/08/2022;-14,40;2;Mc Donald;Alimentation;Restaurant;FrenchBanq;;Autre;;;;
704;18/08/2022;-25,00;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
705;18/08/2022;-2,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
706;18/08/2022;2,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
707;19/08/2022;-200,00;2;SCP ZEHNDER-AMOU;Divers;Responsabilité civile;FrenchBanq;;Autre;;;;
708;19/08/2022;-13,39;2;LIDL;Alimentation;Épicerie;FrenchBanq;;Autre;;;;
709;19/08/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
710;19/08/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
711;19/08/2022;-0,90;2;French Bank;Frais bancaires;Services / Abonnement;FrenchBanq;;Autre;;;;
712;19/08/2022;-0,84;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
713;19/08/2022;0,84;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
714;19/08/2022;-0,72;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
715;19/08/2022;0,72;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
716;20/08/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
717;21/08/2022;-16,70;2;Burger King;Alimentation;Restaurant;FrenchBanq;;Autre;;;;
718;22/08/2022;-1,10;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
719;22/08/2022;1,10;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
720;22/08/2022;-211,28;2;Leclerc;Alimentation;Épicerie;FrenchBanq;;Autre;;;;
721;22/08/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
722;22/08/2022;-0,67;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
723;22/08/2022;0,67;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
724;22/08/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
725;22/08/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
726;22/08/2022;-10,56;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
727;22/08/2022;10,56;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
728;22/08/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
729;22/08/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
730;22/08/2022;-30,00;2;Carrefour;Auto/moto;Carburant;FrenchBanq;;Autre;;;;
731;23/08/2022;-200,00;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
732;23/08/2022;200,00;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
733;24/08/2022;-1,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
734;24/08/2022;1,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
735;24/08/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
736;24/08/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
737;25/08/2022;-10,00;2;La Civette;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
738;26/08/2022;-19,00;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
739;27/08/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
740;29/08/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
741;29/08/2022;-0,46;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
742;29/08/2022;0,46;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
743;30/08/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
744;30/08/2022;-9,22;2;LIDL;Alimentation;Épicerie;FrenchBanq;;Autre;;;;
745;31/08/2022;-31,83;2;Intermarche;Auto/moto;Carburant;FrenchBanq;;Autre;;;;
746;31/08/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
747;31/08/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
748;31/08/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
749;31/08/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
750;31/08/2022;-2,90;2;French Bank;Frais bancaires;Services / Abonnement;FrenchBanq;;Autre;;;;
751;31/08/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
752;31/08/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
753;31/08/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
754;31/08/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
755;31/08/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
756;01/09/2022;1025,32;2;REGARDBTP;Autres revenus;Complémentaire Santé;FrenchBanq;;Autre;;;;
757;01/09/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
758;02/09/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
759;02/09/2022;-39,50;2;Tigo;Alimentation;Restaurant;FrenchBanq;;Autre;;;;
760;02/09/2022;-70,00;2;Retrait d'Espèces;Transferts;Transfert;FrenchBanq;;Autre;;;;
761;02/09/2022;70,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
762;02/09/2022;-70,00;2;Psy;Santé;Psycologue;Retrait d'Espèces;;Autre;;;;
763;02/09/2022;-22,00;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
764;02/09/2022;-1,59;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
765;02/09/2022;1,59;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
766;02/09/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
767;02/09/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
768;02/09/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
769;02/09/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
770;03/09/2022;-19,20;2;Atelier du Gourmet;Alimentation;Restaurant;FrenchBanq;;Autre;;;;
771;04/09/2022;-61,69;2;Leclerc;Alimentation;Épicerie;FrenchBanq;;Autre;;;;
771;04/09/2022;-22,00;2;Leclerc;Auto/moto;Entretien/réparations;FrenchBanq;;Autre;;;;
772;04/09/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
773;04/09/2022;-13,99;2;Amazon;Équipement du logement;Ordinateur et accessoires;FrenchBanq;;Autre;;;;
774;05/09/2022;-43,87;2;L'Olivier Assurance;Auto/moto;Assurance Auto/moto;FrenchBanq;;Autre;;;;
775;05/09/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
776;05/09/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
777;05/09/2022;-4,18;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
778;05/09/2022;4,18;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
779;05/09/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
780;05/09/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
781;05/09/2022;-1,98;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
782;05/09/2022;1,98;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
783;05/09/2022;-3,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
784;05/09/2022;3,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
785;05/09/2022;-50,00;2;sandra;Équipement du logement;Électroménager;FrenchBanq;;Autre;;;;
786;05/09/2022;-0,90;2;French Bank;Frais bancaires;Frais divers;FrenchBanq;;Autre;;;;
787;06/09/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
788;06/09/2022;1084,46;2;CPAM DE L'ARTOIS;Autres revenus;Pension Invalidité;FrenchBanq;;Autre;;;;
789;06/09/2022;-0,96;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
790;06/09/2022;0,96;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
791;06/09/2022;-0,70;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
792;06/09/2022;0,70;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
793;07/09/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
794;07/09/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
795;07/09/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
796;07/09/2022;-19,99;2;Free Mobile;Abonnement/factures;Portable;FrenchBanq;;Autre;;;;
797;08/09/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
798;08/09/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
799;09/09/2022;-39,44;2;LIDL;Alimentation;Épicerie;FrenchBanq;;Autre;;;;
800;09/09/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
801;10/09/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
802;10/09/2022;-326,00;2;Wilfert sas;Équipement du logement;Ameublement;FrenchBanq;;Autre;;;;
803;11/09/2022;-29,50;2;O'Mac2;Alimentation;Restaurant;FrenchBanq;;Autre;;;;
804;12/09/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
805;12/09/2022;-6,20;2;LIDL;Alimentation;Épicerie;FrenchBanq;;Autre;;;;
806;13/09/2022;-1,97;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
807;13/09/2022;1,97;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
808;13/09/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
809;13/09/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
810;13/09/2022;-1,48;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
811;13/09/2022;1,48;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
812;13/09/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
813;13/09/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
814;13/09/2022;-16,30;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
815;13/09/2022;16,30;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
816;13/09/2022;-5,00;2;GIFI;Équipement du logement;Ameublement;FrenchBanq;;Autre;;;;
817;13/09/2022;-2,00;2;lucas;Divers;Cadeaux;Retrait d'Espèces;;Autre;;;;
818;13/09/2022;-0,31;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
819;13/09/2022;0,31;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
820;14/09/2022;-102,49;2;GIFI;Équipement du logement;Ameublement;FrenchBanq;;Autre;;;;
821;14/09/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
822;14/09/2022;-10,00;2;La Civette;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
823;14/09/2022;-0,25;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
824;14/09/2022;0,25;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
825;15/09/2022;-55,00;2;GIFI;Équipement du logement;Ameublement;FrenchBanq;;Autre;;;;
826;15/09/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
827;15/09/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
828;15/09/2022;-5,12;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
829;15/09/2022;5,12;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
830;16/09/2022;-53,36;2;LIDL;Alimentation;Épicerie;FrenchBanq;;Autre;;;;
831;16/09/2022;-2,75;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
832;16/09/2022;2,75;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
833;16/09/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
834;16/09/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
835;17/09/2022;-10,00;2;La Civette;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
836;19/09/2022;-63,92;2;CroquetteLand;Animaux domestiques;Alimentation;FrenchBanq;;Autre;;;;
837;19/09/2022;-52,41;2;Intermarche;Auto/moto;Carburant;FrenchBanq;;Autre;;;;
838;19/09/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
839;19/09/2022;-2,67;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
840;19/09/2022;2,67;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
841;20/09/2022;-200,00;2;SCP ZEHNDER-AMOU;Divers;Responsabilité civile;FrenchBanq;;Autre;;;;
842;20/09/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
843;20/09/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
