Numéro;Date;Montant;Etat;Tiers;Catégories;Sous-catégorie;Compte;Compte virement;Mode paiement;Ref. Paiement;Référence;Projets/Biens;Commentaire
103;23/12/2021;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
104;24/12/2021;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;Retrait d'Espèces;;Autre;;;;
105;29/12/2021;-14,00;2;Carre d'as;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
106;29/12/2021;-0,70;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
107;29/12/2021;0,70;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
108;31/12/2021;0,36;2;La Banque Postale;Placements;Intérêts;Livret A;;Autre;;;;
109;31/12/2021;-204,52;2;Leclerc;Alimentation;Épicerie;FrenchBanq;;Autre;;,;;
110;31/12/2021;-10,23;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
111;31/12/2021;10,23;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
112;31/12/2021;-2,90;2;French Bank;Frais bancaires;Services / Abonnement;FrenchBanq;;Autre;;;;
113;01/01/2022;0,00;2;;Autres revenus;Revenus à catégoriser;Placements et indices à suivre;;Autre;;;;
114;01/01/2022;0,00;2;;Autres revenus;Revenus à catégoriser;Placements et indices à suivre;;Autre;;;;
115;01/01/2022;0,00;2;;Autres revenus;Revenus à catégoriser;Placements et indices à suivre;;Autre;;;;
116;03/01/2022;301,84;2;Pôle Emploi;Autres revenus;Allocations de chômage;Livret A;;Autre;;;;
117;03/01/2022;-60,90;2;Le comptoir du malt;Alimentation;Restaurant;FrenchBanq;;Autre;;;;
118;03/01/2022;-3,05;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
119;03/01/2022;3,05;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
120;04/01/2022;-9,90;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
121;04/01/2022;-0,50;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
122;04/01/2022;0,50;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
123;04/01/2022;49,00;2;Amazon;Autres revenus;Autres revenus;FrenchBanq;;Autre;;;;
124;06/01/2022;866,38;2;CPAM DE L'ARTOIS;Autres revenus;Pension Invalidité;FrenchBanq;;Autre;;;;
125;07/01/2022;-10,00;2;Au Tabac;Alimentation;Café/Bar/Tabac;Retrait d'Espèces;;Autre;;;;
126;07/01/2022;-44,00;2;Friterie Regis;Alimentation;Restaurant;FrenchBanq;;Autre;;;;
127;10/01/2022;-15,80;2;pizza eli;Alimentation;Restaurant;FrenchBanq;;Autre;;;;
128;10/01/2022;-0,79;2;Ma Tirelire;Transferts;Transfert;FrenchBanq;;Autre;;;;
129;10/01/2022;0,79;2;FrenchBanq;Transferts;Transfert;Ma Tirelire;;Autre;;;;
130;10/01/2022;-9,90;2;Au Tabac;Alimentation;Café/Bar/Tabac;FrenchBanq;;Autre;;;;
