0;20240828;-11,00;2;Leclerc;Frais Profesionnel;Alimentation/Restaurant;Retrait d'Espèces;;Autre;;;;
63;20230804;-20,00;2;Delphine;Soins de la personne;Coiffeur/esthéticienne;Retrait d'Espèces;;Autre;;;;
64;20230802;-16,00;2;LIDL;Alimentation;Épicerie;Retrait d'Espèces;;Autre;;;;
65;20230801;-163,49;2;Ajustement Du Compte;Divers;Retrait d'espèces;Retrait d'Espèces;;Autre;;;;Credit auto
66;20230720;-8,00;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
67;20230720;100,00;2;PACT;Autres revenus;Remboursement Divers;Retrait d'Espèces;;Autre;;;;
68;20230705;-22,00;2;Boulangerie;Alimentation;Épicerie;Retrait d'Espèces;;Autre;;;;
69;20230705;20,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
70;20230623;-30,00;2;Intermarche;Auto/moto;Carburant;Retrait d'Espèces;;Autre;;;;
71;20230610;20,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
72;20230607;-50,00;2;Intermarche;Auto/moto;Carburant;Retrait d'Espèces;;Autre;;;;
73;20230601;-30,00;2;Snack;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
74;20230601;-30,00;2;Carrefour;Abonnement/factures;Ménage;Retrait d'Espèces;;Autre;;;;
75;20230601;-10,00;2;Delphine;Soins de la personne;Coiffeur/esthéticienne;Retrait d'Espèces;;Autre;;;;
76;20230601;-20,00;2;Isabelle;Divers;Cadeaux;Retrait d'Espèces;;Autre;;;;
77;20230601;-30,00;2;Vaness;Divers;Cadeaux;Retrait d'Espèces;;Autre;;;;
78;20230601;-30,00;2;sandra;Divers;Cadeaux;Retrait d'Espèces;;Autre;;;;
79;20230530;3,42;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
80;20230530;5,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
81;20230530;100,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
82;20230523;50,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
83;20230515;50,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
84;20230505;50,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
85;20230424;100,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
86;20230227;-35,00;2;Psy;Santé;Psycologue;Retrait d'Espèces;;Autre;;;;
87;20230225;-10,00;2;Delphine;Soins de la personne;Coiffeur/esthéticienne;Retrait d'Espèces;;Autre;;;;
88;20230224;80,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
89;20230220;-10,00;2;David Malbranque;Alimentation;Café/Bar/Tabac;Retrait d'Espèces;;Autre;;;;
90;20230204;-8,00;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
91;20230126;-8,00;2;David Malbranque;Loisirs/culture/sport;Manifestations sportives;Retrait d'Espèces;;Autre;;;;
92;20230116;-20,00;2;Fantine;Abonnement/factures;Ménage;Retrait d'Espèces;;Autre;;;;
93;20230114;-50,00;2;Manon Panouillot;Divers;Cadeaux;Retrait d'Espèces;;Autre;;;;
94;20230114;-50,00;2;Matthéo;Divers;Cadeaux;Retrait d'Espèces;;Autre;;;;
95;20230114;100,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
96;20230113;-8,00;2;Friterie Regis;Alimentation;Restaurant;Retrait d'Espèces;;Autre;;;;
97;20230101;-35,00;2;Loisirs/culture/sport;Loisirs/culture/sport;Cinéma/spectacle;Retrait d'Espèces;;Autre;;;;soiree nouvel an
98;20230101;50,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
99;20221226;-10,00;2;Carre d'as;Alimentation;Café/Bar/Tabac;Retrait d'Espèces;;Autre;;;;
100;20221218;-10,00;2;Yvelise;Alimentation;Café/Bar/Tabac;Retrait d'Espèces;;Autre;;;;
101;20221215;-20,00;2;Camille;Animaux domestiques;Toilletage;Retrait d'Espèces;;Autre;;;;
102;20221215;50,00;2;FrenchBanq;Transferts;Transfert;Retrait d'Espèces;;Autre;;;;
